sigma,PSNR_dB,BER
0.0,inf,0.0
0.005,45.814753521406935,0.4879032258064516
0.01,39.959327648862086,0.4798387096774194
0.02,33.998301724393095,0.5
0.05,26.13067937040625,0.5282258064516129
